user_pk,follower_pk,follower_username,follower_count
187264532,1451797369,stacidblack,114
187264532,2384555054,leotw4552,12
187264532,17096723,homeecmel,772
187264532,55856570272,handmade_market_ks,114
187264532,33147008532,l0dservices,241
187264532,3702020941,viknes_michael,72
187264532,472676306,magpiegemstones,579
187264532,32185561361,creativityisspirituality,107
187264532,13534725,debrinak,134
187264532,1727625343,thorntonsteve,48
187264532,8006990,bethmcelhaney,81
187264532,1735244853,worldslargestthings,303
187264532,8960413271,chris.hamilton.3382,7
187264532,39436106246,thebigbeeclub,110
187264532,2343042146,richard_davies_art,83
187264532,3584651501,violinjudy,219
187264532,1594819278,tony_studium,55
187264532,2098126112,_brittanyannwalker,165
187264532,33063492581,createinict,313
187264532,2034417720,chicken.love,89
187264532,43197700,clever2gether,5
187264532,3323625778,ottertim,20
187264532,1095159092,femailler,188
187264532,59164970899,natalie_durkin_textile_artist,52
187264532,145078664,luvr888,5
187264532,32085174,redbinary,108
187264532,8581422604,earthmama_06,78
187264532,62733316539,princecaspian1969,486
187264532,2235934455,tedifx,0
187264532,195459988,jesimika.p.wright,191
187264532,32221609,thecindykelly,343
187264532,198309525,cammysauce,0
187264532,254083358,gaypostmalone,169
187264532,309661036,nanmade13,196
187264532,53487444898,lostartict,36
187264532,7840051897,_ophelion,146
187264532,37463807,texdedhed,141
187264532,21860175270,roguepuppet,111
187264532,1589571467,lizzyks1024,59
187264532,175957389,justice4jermaine,51
187264532,1519876318,jenni.drinnen,84
187264532,219959333,ladyjane9,126
187264532,58747942433,outdoorfabricexpert_zenda,117
187264532,48694202096,shopadamo1987,190
187264532,357682518,ryanwgates,39
187264532,1015222169,anthonydelossantosaustin,156
187264532,19412512,lisawaltonartist,1232
187264532,16112496327,mollys_of_kensington,87
187264532,1394651638,beautybynazss,151
187264532,59765809240,industrymademe,54
187264532,1433265633,atxgraphics,100
187264532,1099132956,santafefashionweeknm,912
187264532,1414047322,mccoy_rockford,0
187264532,340310415,misstralynza,198
187264532,4090784011,foodhubks,443
187264532,4872505437,revaprilkling,224
187264532,1414763701,specseyewear,254
187264532,50984706142,hoppockkelley,13
187264532,1185769717,julian.the.third,24
187264532,2122315449,summerseasones,13
187264532,516961445,annresnick,163
187264532,244570044,shalottlilly,659
187264532,1651500544,rudylee_jr,115
187264532,62174518467,mdataur.molla,76
187264532,8693304704,dugettiwestern,170
187264532,5515498641,accentlightinginc,324
187264532,898732407,kayleethamrin,277
187264532,10680807922,madebuyjerome,50
187264532,36271111508,mpartstudio1,280
187264532,71134731317,cognosity,2
187264532,4901711660,ictartscouncil,360
187264532,2722112195,austringersherry,44
187264532,3801871946,lvasaelini,83
187264532,217284687,huck709,66
187264532,2159543480,cerlyn_shepu,208
